ateneo,ateneo,numcollaborazioni 
CATANZARO,TRIESTE,4
FIRENZE,Univ. Campus Bio-Medico di ROMA,4
BOLOGNA,ROMA TRE,4
Politecnico di BARI,Politecnico di MILANO,4
BRESCIA,MILANO-BICOCCA,4
BRESCIA,Ca' Foscari VENEZIA,4
MESSINA,SANNIO di BENEVENTO,4
CATANIA,Seconda Univ. NAPOLI,4
PADOVA,Politecnico di MILANO,4
BOLOGNA,TRENTO,4
Seconda Univ. NAPOLI,Univ. Campus Bio-Medico di ROMA,4
ROMA La Sapienza,Univ. Telematica GUGLIELMO MARCONI,4
PISA,Scuola Superiore Sant'Anna,4
FERRARA,Urbino Carlo Bo,3
PARMA,SIENA,3
CAGLIARI,FIRENZE,3
BARI,ROMA La Sapienza,3
PERUGIA,ROMA La Sapienza,3
della CALABRIA,PALERMO,3
PARMA,Politecnico di MILANO,3
MODENA e REGGIO EMILIA,SALENTO,3
della CALABRIA,MESSINA,3
BARI,Mediterranea di REGGIO CALABRIA,3
CAGLIARI,SANNIO di BENEVENTO,3
BARI,MESSINA,3
L'AQUILA,VERONA,3
MODENA e REGGIO EMILIA,PADOVA,3
GENOVA,SIENA,3
BARI,BOLOGNA,3
PADOVA,VERONA,3
PADOVA,TRIESTE,3
INSUBRIA,TRENTO,3
TRENTO,TUSCIA,3
Mediterranea di REGGIO CALABRIA,Politecnico di MILANO,3
BARI,SALERNO,3
CATANIA,SANNIO di BENEVENTO,3
CAMERINO,ROMA Tor Vergata,2
BARI,CATANZARO,2
BARI,INSUBRIA,2
BARI,MODENA e REGGIO EMILIA,2
BARI,NAPOLI Federico II,2
BARI,TRIESTE,2
BASILICATA,Politecnico di MILANO,2
BERGAMO,MILANO-BICOCCA,2
BERGAMO,TRIESTE,2
BOLOGNA,CAGLIARI,2
BOLOGNA,CATANZARO,2
BOLOGNA,GENOVA,2
BOLOGNA,PALERMO,2
BOLOGNA,TRIESTE,2
BOLOGNA,Univ. Campus Bio-Medico di ROMA,2
BRESCIA,MODENA e REGGIO EMILIA,2
BRESCIA,ROMA TRE,2
CAGLIARI,PARMA,2
CAGLIARI,ROMA Tor Vergata,2
CAGLIARI,SASSARI,2
CAMERINO,Univ. Telematica GUGLIELMO MARCONI,2
CASSINO e LAZIO MERIDIONALE,Univ. Campus Bio-Medico di ROMA,2
CATANIA,VERONA,2
CATANZARO,MODENA e REGGIO EMILIA,2
CATANZARO,ROMA La Sapienza,2
della CALABRIA,Seconda Univ. NAPOLI,2
della CALABRIA,UDINE,2
FERRARA,ROMA Tor Vergata,2
FIRENZE,PADOVA,2
FIRENZE,TRENTO,2
FIRENZE,VERONA,2
GENOVA,Politecnica delle MARCHE,2
GENOVA,Politecnico di MILANO,2
GENOVA,UDINE,2
L'AQUILA,ROMA Tor Vergata,2
Libera UniversitÃ  di BOLZANO,MILANO-BICOCCA,2
Libera UniversitÃ  di BOLZANO,Politecnico di BARI,2
Libera UniversitÃ  di BOLZANO,ROMA TRE,2
Libera UniversitÃ  di BOLZANO,TUSCIA,2
MILANO,SIENA,2
MILANO,VERONA,2
MILANO-BICOCCA,Politecnico di BARI,2
MILANO-BICOCCA,TRENTO,2
MODENA e REGGIO EMILIA,NAPOLI Federico II,2
MODENA e REGGIO EMILIA,PALERMO,2
